"queue_rank","priority_score","gap_labels","review_segment","lead_id","company_name","customer_type","city_or_region","website","contact_data_level","primary_contact_method","contact_priority","recommended_action","official_contact_query","site_contact_query","form_query","kp_query","site_kp_query","public_linkedin_query","source_link"
"81","65","missing_form; missing_kp","Restaurant/Hotel Final Customer","AU-0272","Trilogy Hotels | Independent Hotel Management Company","Final Customer","","https://trilogyhotels.com.au","","","","Search owner/founder/director/operations/F&B/procurement KP evidence.","""Trilogy Hotels | Independent Hotel Management Company"" Australia official contact","site:trilogyhotels.com.au contact OR enquiry OR suppliers","""Trilogy Hotels | Independent Hotel Management Company"" Australia contact form OR enquiry OR suppliers","""Trilogy Hotels | Independent Hotel Management Company"" Australia owner OR founder OR director OR operations OR procurement OR ""food and beverage""","site:trilogyhotels.com.au team OR people OR leadership OR director OR founder","site:linkedin.com/in ""Trilogy Hotels | Independent Hotel Management Company"" Australia director OR operations OR procurement","https://trilogyhotels.com.au"
"82","65","missing_form; missing_kp","Restaurant/Hotel Final Customer","AU-0345","Trippas White Group | Iconic Experiences","Final Customer","","https://trippaswhitegroup.com.au","","","","Search owner/founder/director/operations/F&B/procurement KP evidence.","""Trippas White Group | Iconic Experiences"" Australia official contact","site:trippaswhitegroup.com.au contact OR enquiry OR suppliers","""Trippas White Group | Iconic Experiences"" Australia contact form OR enquiry OR suppliers","""Trippas White Group | Iconic Experiences"" Australia owner OR founder OR director OR operations OR procurement OR ""food and beverage""","site:trippaswhitegroup.com.au team OR people OR leadership OR director OR founder","site:linkedin.com/in ""Trippas White Group | Iconic Experiences"" Australia director OR operations OR procurement","https://www.trippaswhitegroup.com.au"
"83","65","missing_form; missing_kp","Restaurant/Hotel Final Customer","AU-0285","Venue | Legends Pub &amp; Bistro in Moonee Ponds | Legends","Final Customer","","https://mvlegends.com.au","","","","Search owner/founder/director/operations/F&B/procurement KP evidence.","""Venue | Legends Pub &amp; Bistro in Moonee Ponds | Legends"" Australia official contact","site:mvlegends.com.au contact OR enquiry OR suppliers","""Venue | Legends Pub &amp; Bistro in Moonee Ponds | Legends"" Australia contact form OR enquiry OR suppliers","""Venue | Legends Pub &amp; Bistro in Moonee Ponds | Legends"" Australia owner OR founder OR director OR operations OR procurement OR ""food and beverage""","site:mvlegends.com.au team OR people OR leadership OR director OR founder","site:linkedin.com/in ""Venue | Legends Pub &amp; Bistro in Moonee Ponds | Legends"" Australia director OR operations OR procurement","https://www.mvlegends.com.au/venue"
"84","65","missing_form; missing_kp","Restaurant/Hotel Final Customer","AU-0302","Venues &amp; Events | QT Sydney | Sydney Venues &amp; Events","Final Customer","","https://qthotels.com","","","","Search owner/founder/director/operations/F&B/procurement KP evidence.","""Venues &amp; Events | QT Sydney | Sydney Venues &amp; Events"" Australia official contact","site:qthotels.com contact OR enquiry OR suppliers","""Venues &amp; Events | QT Sydney | Sydney Venues &amp; Events"" Australia contact form OR enquiry OR suppliers","""Venues &amp; Events | QT Sydney | Sydney Venues &amp; Events"" Australia owner OR founder OR director OR operations OR procurement OR ""food and beverage""","site:qthotels.com team OR people OR leadership OR director OR founder","site:linkedin.com/in ""Venues &amp; Events | QT Sydney | Sydney Venues &amp; Events"" Australia director OR operations OR procurement","https://www.qthotels.com/sydney-cbd/venues-events"
"85","65","missing_form; missing_kp","Restaurant/Hotel Final Customer","AU-0320","White Top - Premium Event Professionals","Final Customer","","https://whitetop.au","","","","Search owner/founder/director/operations/F&B/procurement KP evidence.","""White Top - Premium Event Professionals"" Australia official contact","site:whitetop.au contact OR enquiry OR suppliers","""White Top - Premium Event Professionals"" Australia contact form OR enquiry OR suppliers","""White Top - Premium Event Professionals"" Australia owner OR founder OR director OR operations OR procurement OR ""food and beverage""","site:whitetop.au team OR people OR leadership OR director OR founder","site:linkedin.com/in ""White Top - Premium Event Professionals"" Australia director OR operations OR procurement","https://www.whitetop.au"
"86","65","missing_form; missing_kp","Restaurant/Hotel Final Customer","LEAD-0198","Wshorthospitality","Final Customer","","https://www.wshorthospitality.com.au","","","","Search owner/founder/director/operations/F&B/procurement KP evidence.","""Wshorthospitality"" Australia official contact","site:wshorthospitality.com.au contact OR enquiry OR suppliers","""Wshorthospitality"" Australia contact form OR enquiry OR suppliers","""Wshorthospitality"" Australia owner OR founder OR director OR operations OR procurement OR ""food and beverage""","site:wshorthospitality.com.au team OR people OR leadership OR director OR founder","site:linkedin.com/in ""Wshorthospitality"" Australia director OR operations OR procurement","https://www.wshorthospitality.com.au/contact-us"
"87","65","missing_form; missing_kp","Restaurant/Hotel Final Customer","AU-0268","Yarra Hotel Group | Hotel Developers | Melbourne","Final Customer","","https://yarrahotelgroup.com.au","","","","Search owner/founder/director/operations/F&B/procurement KP evidence.","""Yarra Hotel Group | Hotel Developers | Melbourne"" Australia official contact","site:yarrahotelgroup.com.au contact OR enquiry OR suppliers","""Yarra Hotel Group | Hotel Developers | Melbourne"" Australia contact form OR enquiry OR suppliers","""Yarra Hotel Group | Hotel Developers | Melbourne"" Australia owner OR founder OR director OR operations OR procurement OR ""food and beverage""","site:yarrahotelgroup.com.au team OR people OR leadership OR director OR founder","site:linkedin.com/in ""Yarra Hotel Group | Hotel Developers | Melbourne"" Australia director OR operations OR procurement","https://yarrahotelgroup.com.au"
"88","65","missing_form; missing_kp","Restaurant/Hotel Final Customer","AU-0409","Zambrero Franchise | Australia's Feel Good Mexican Food Franchise","Final Customer","","https://zambrero.com.au","","","","Search owner/founder/director/operations/F&B/procurement KP evidence.","""Zambrero Franchise | Australia's Feel Good Mexican Food Franchise"" Australia official contact","site:zambrero.com.au contact OR enquiry OR suppliers","""Zambrero Franchise | Australia's Feel Good Mexican Food Franchise"" Australia contact form OR enquiry OR suppliers","""Zambrero Franchise | Australia's Feel Good Mexican Food Franchise"" Australia owner OR founder OR director OR operations OR procurement OR ""food and beverage""","site:zambrero.com.au team OR people OR leadership OR director OR founder","site:linkedin.com/in ""Zambrero Franchise | Australia's Feel Good Mexican Food Franchise"" Australia director OR operations OR procurement","https://www.zambrero.com.au/franchise"
"89","60","missing_company_contact; missing_form; missing_kp","Restaurant/Hotel Final Customer","AU-0446","Australian Motel Group - Connecting Motels in CQ and Outback","Final Customer","","https://australianmotelgroup.com.au","","","","Find official company contact page, email, phone, or form first.","""Australian Motel Group - Connecting Motels in CQ and Outback"" Australia official contact","site:australianmotelgroup.com.au contact OR enquiry OR suppliers","""Australian Motel Group - Connecting Motels in CQ and Outback"" Australia contact form OR enquiry OR suppliers","""Australian Motel Group - Connecting Motels in CQ and Outback"" Australia owner OR founder OR director OR operations OR procurement OR ""food and beverage""","site:australianmotelgroup.com.au team OR people OR leadership OR director OR founder","site:linkedin.com/in ""Australian Motel Group - Connecting Motels in CQ and Outback"" Australia director OR operations OR procurement","http://australianmotelgroup.com.au"
"90","60","missing_company_contact; missing_form; missing_kp","Restaurant/Hotel Final Customer","AU-0289","Australia’s Trusted Corporate &amp; Event Caterers | Australian Catering Company","Final Customer","","https://australiancateringcompany.com.au","","","","Find official company contact page, email, phone, or form first.","""Australia’s Trusted Corporate &amp; Event Caterers | Australian Catering Company"" Australia official contact","site:australiancateringcompany.com.au contact OR enquiry OR suppliers","""Australia’s Trusted Corporate &amp; Event Caterers | Australian Catering Company"" Australia contact form OR enquiry OR suppliers","""Australia’s Trusted Corporate &amp; Event Caterers | Australian Catering Company"" Australia owner OR founder OR director OR operations OR procurement OR ""food and beverage""","site:australiancateringcompany.com.au team OR people OR leadership OR director OR founder","site:linkedin.com/in ""Australia’s Trusted Corporate &amp; Event Caterers | Australian Catering Company"" Australia director OR operations OR procurement","https://australiancateringcompany.com.au"
"91","60","missing_company_contact; missing_form; missing_kp","Restaurant/Hotel Final Customer","AU-0280","GM Hotels Group | Australia","Final Customer","","https://gmhotels.com.au","","","","Find official company contact page, email, phone, or form first.","""GM Hotels Group | Australia"" Australia official contact","site:gmhotels.com.au contact OR enquiry OR suppliers","""GM Hotels Group | Australia"" Australia contact form OR enquiry OR suppliers","""GM Hotels Group | Australia"" Australia owner OR founder OR director OR operations OR procurement OR ""food and beverage""","site:gmhotels.com.au team OR people OR leadership OR director OR founder","site:linkedin.com/in ""GM Hotels Group | Australia"" Australia director OR operations OR procurement","https://www.gmhotels.com.au"
"92","60","missing_company_contact; missing_form; missing_kp","Restaurant/Hotel Final Customer","AU-0321","Good food for good folk | Food Folk Australia","Final Customer","","https://foodfolk.com.au","","","","Find official company contact page, email, phone, or form first.","""Good food for good folk | Food Folk Australia"" Australia official contact","site:foodfolk.com.au contact OR enquiry OR suppliers","""Good food for good folk | Food Folk Australia"" Australia contact form OR enquiry OR suppliers","""Good food for good folk | Food Folk Australia"" Australia owner OR founder OR director OR operations OR procurement OR ""food and beverage""","site:foodfolk.com.au team OR people OR leadership OR director OR founder","site:linkedin.com/in ""Good food for good folk | Food Folk Australia"" Australia director OR operations OR procurement","https://www.foodfolk.com.au"
"93","60","missing_company_contact; missing_form; missing_kp","Restaurant/Hotel Final Customer","AU-0427","Restaurant — Mimosa Wines","Final Customer","","https://mimosawines.com.au","","","","Find official company contact page, email, phone, or form first.","""Restaurant — Mimosa Wines"" Australia official contact","site:mimosawines.com.au contact OR enquiry OR suppliers","""Restaurant — Mimosa Wines"" Australia contact form OR enquiry OR suppliers","""Restaurant — Mimosa Wines"" Australia owner OR founder OR director OR operations OR procurement OR ""food and beverage""","site:mimosawines.com.au team OR people OR leadership OR director OR founder","site:linkedin.com/in ""Restaurant — Mimosa Wines"" Australia director OR operations OR procurement","https://www.mimosawines.com.au/restaurant-pacific-1"
"94","60","missing_company_contact; missing_form; missing_kp","Restaurant/Hotel Final Customer","AU-0201","The Big Easy Group","Final Customer","","https://thebigeasygroup.com","","","","Find official company contact page, email, phone, or form first.","""The Big Easy Group"" Australia official contact","site:thebigeasygroup.com contact OR enquiry OR suppliers","""The Big Easy Group"" Australia contact form OR enquiry OR suppliers","""The Big Easy Group"" Australia owner OR founder OR director OR operations OR procurement OR ""food and beverage""","site:thebigeasygroup.com team OR people OR leadership OR director OR founder","site:linkedin.com/in ""The Big Easy Group"" Australia director OR operations OR procurement",""
"95","60","missing_company_contact; missing_form; missing_kp","Restaurant/Hotel Final Customer","AU-0197","The Mulberry Group","Final Customer","","https://themulberrygroup.com.au","","","","Find official company contact page, email, phone, or form first.","""The Mulberry Group"" Australia official contact","site:themulberrygroup.com.au contact OR enquiry OR suppliers","""The Mulberry Group"" Australia contact form OR enquiry OR suppliers","""The Mulberry Group"" Australia owner OR founder OR director OR operations OR procurement OR ""food and beverage""","site:themulberrygroup.com.au team OR people OR leadership OR director OR founder","site:linkedin.com/in ""The Mulberry Group"" Australia director OR operations OR procurement",""
"96","60","missing_company_contact; missing_form; missing_kp","Restaurant/Hotel Final Customer","AU-0205","The San Telmo Group","Final Customer","","https://thesantelmogroup.com.au","","","","Find official company contact page, email, phone, or form first.","""The San Telmo Group"" Australia official contact","site:thesantelmogroup.com.au contact OR enquiry OR suppliers","""The San Telmo Group"" Australia contact form OR enquiry OR suppliers","""The San Telmo Group"" Australia owner OR founder OR director OR operations OR procurement OR ""food and beverage""","site:thesantelmogroup.com.au team OR people OR leadership OR director OR founder","site:linkedin.com/in ""The San Telmo Group"" Australia director OR operations OR procurement",""
"97","55","missing_kp","Restaurant/Hotel Final Customer","AU-0214","Australian Hotel & Brewery","Final Customer","","https://australianhotelbrewery.com.au","","","","Search owner/founder/director/operations/F&B/procurement KP evidence.","""Australian Hotel & Brewery"" Australia official contact","site:australianhotelbrewery.com.au contact OR enquiry OR suppliers","""Australian Hotel & Brewery"" Australia contact form OR enquiry OR suppliers","""Australian Hotel & Brewery"" Australia owner OR founder OR director OR operations OR procurement OR ""food and beverage""","site:australianhotelbrewery.com.au team OR people OR leadership OR director OR founder","site:linkedin.com/in ""Australian Hotel & Brewery"" Australia director OR operations OR procurement",""
"98","55","missing_kp","Restaurant/Hotel Final Customer","LEAD-0196","Bar83sydneytower","Final Customer","","https://bar83sydneytower.com.au","","","","Search owner/founder/director/operations/F&B/procurement KP evidence.","""Bar83sydneytower"" Australia official contact","site:bar83sydneytower.com.au contact OR enquiry OR suppliers","""Bar83sydneytower"" Australia contact form OR enquiry OR suppliers","""Bar83sydneytower"" Australia owner OR founder OR director OR operations OR procurement OR ""food and beverage""","site:bar83sydneytower.com.au team OR people OR leadership OR director OR founder","site:linkedin.com/in ""Bar83sydneytower"" Australia director OR operations OR procurement","https://bar83sydneytower.com.au/contact"
"99","55","missing_kp","Restaurant/Hotel Final Customer","LEAD-0204","Barbellaccino","Final Customer","","https://www.barbellaccino.com.au/franchising","","","","Search owner/founder/director/operations/F&B/procurement KP evidence.","""Barbellaccino"" Australia official contact","site:barbellaccino.com.au contact OR enquiry OR suppliers","""Barbellaccino"" Australia contact form OR enquiry OR suppliers","""Barbellaccino"" Australia owner OR founder OR director OR operations OR procurement OR ""food and beverage""","site:barbellaccino.com.au team OR people OR leadership OR director OR founder","site:linkedin.com/in ""Barbellaccino"" Australia director OR operations OR procurement","https://www.barbellaccino.com.au/franchising"
"100","55","missing_kp","Restaurant/Hotel Final Customer","AU-0209","Doltone Hospitality Group","Final Customer","","https://doltonehospitalitygroup.com.au","","","","Search owner/founder/director/operations/F&B/procurement KP evidence.","""Doltone Hospitality Group"" Australia official contact","site:doltonehospitalitygroup.com.au contact OR enquiry OR suppliers","""Doltone Hospitality Group"" Australia contact form OR enquiry OR suppliers","""Doltone Hospitality Group"" Australia owner OR founder OR director OR operations OR procurement OR ""food and beverage""","site:doltonehospitalitygroup.com.au team OR people OR leadership OR director OR founder","site:linkedin.com/in ""Doltone Hospitality Group"" Australia director OR operations OR procurement",""
"101","55","missing_kp","Restaurant/Hotel Final Customer","AU-0215","Millbrook Winery","Final Customer","","https://millbrook.wine","","","","Search owner/founder/director/operations/F&B/procurement KP evidence.","""Millbrook Winery"" Australia official contact","site:millbrook.wine contact OR enquiry OR suppliers","""Millbrook Winery"" Australia contact form OR enquiry OR suppliers","""Millbrook Winery"" Australia owner OR founder OR director OR operations OR procurement OR ""food and beverage""","site:millbrook.wine team OR people OR leadership OR director OR founder","site:linkedin.com/in ""Millbrook Winery"" Australia director OR operations OR procurement",""
"102","55","missing_kp","Restaurant/Hotel Final Customer","AU-0199","Persone","Final Customer","","https://persone.com.au","","","","Search owner/founder/director/operations/F&B/procurement KP evidence.","""Persone"" Australia official contact","site:persone.com.au contact OR enquiry OR suppliers","""Persone"" Australia contact form OR enquiry OR suppliers","""Persone"" Australia owner OR founder OR director OR operations OR procurement OR ""food and beverage""","site:persone.com.au team OR people OR leadership OR director OR founder","site:linkedin.com/in ""Persone"" Australia director OR operations OR procurement",""
"103","55","missing_kp","Restaurant/Hotel Final Customer","AU-0216","Riverstone Wines","Final Customer","","https://riverstonewine.com.au","","","","Search owner/founder/director/operations/F&B/procurement KP evidence.","""Riverstone Wines"" Australia official contact","site:riverstonewine.com.au contact OR enquiry OR suppliers","""Riverstone Wines"" Australia contact form OR enquiry OR suppliers","""Riverstone Wines"" Australia owner OR founder OR director OR operations OR procurement OR ""food and beverage""","site:riverstonewine.com.au team OR people OR leadership OR director OR founder","site:linkedin.com/in ""Riverstone Wines"" Australia director OR operations OR procurement",""
"104","55","missing_kp","Restaurant/Hotel Final Customer","AU-0213","Thomas Hotels","Final Customer","","https://thomashotels.com.au","","","","Search owner/founder/director/operations/F&B/procurement KP evidence.","""Thomas Hotels"" Australia official contact","site:thomashotels.com.au contact OR enquiry OR suppliers","""Thomas Hotels"" Australia contact form OR enquiry OR suppliers","""Thomas Hotels"" Australia owner OR founder OR director OR operations OR procurement OR ""food and beverage""","site:thomashotels.com.au team OR people OR leadership OR director OR founder","site:linkedin.com/in ""Thomas Hotels"" Australia director OR operations OR procurement",""
"105","50","missing_form","Restaurant/Hotel Final Customer","AU-0207","Anyday","Final Customer","","https://anyday.com.au","","","","Find official enquiry/contact/supplier form as secondary route.","""Anyday"" Australia official contact","site:anyday.com.au contact OR enquiry OR suppliers","""Anyday"" Australia contact form OR enquiry OR suppliers","""Anyday"" Australia owner OR founder OR director OR operations OR procurement OR ""food and beverage""","site:anyday.com.au team OR people OR leadership OR director OR founder","site:linkedin.com/in ""Anyday"" Australia director OR operations OR procurement",""
"106","50","missing_form","Restaurant/Hotel Final Customer","LEAD-0201","Cateredbymatt","Final Customer","","https://cateredbymatt.com","","","","Find official enquiry/contact/supplier form as secondary route.","""Cateredbymatt"" Australia official contact","site:cateredbymatt.com contact OR enquiry OR suppliers","""Cateredbymatt"" Australia contact form OR enquiry OR suppliers","""Cateredbymatt"" Australia owner OR founder OR director OR operations OR procurement OR ""food and beverage""","site:cateredbymatt.com team OR people OR leadership OR director OR founder","site:linkedin.com/in ""Cateredbymatt"" Australia director OR operations OR procurement","https://cateredbymatt.com"
"107","50","missing_form","Restaurant/Hotel Final Customer","LEAD-0197","Littlecaterersydney","Final Customer","","http://www.littlecaterersydney.com","","","","Find official enquiry/contact/supplier form as secondary route.","""Littlecaterersydney"" Australia official contact","site:littlecaterersydney.com contact OR enquiry OR suppliers","""Littlecaterersydney"" Australia contact form OR enquiry OR suppliers","""Littlecaterersydney"" Australia owner OR founder OR director OR operations OR procurement OR ""food and beverage""","site:littlecaterersydney.com team OR people OR leadership OR director OR founder","site:linkedin.com/in ""Littlecaterersydney"" Australia director OR operations OR procurement","http://www.littlecaterersydney.com"
"108","50","missing_form","Restaurant/Hotel Final Customer","AU-0220","Prancing Pony Brewery","Final Customer","","https://prancingponybrewery.com.au","","","","Find official enquiry/contact/supplier form as secondary route.","""Prancing Pony Brewery"" Australia official contact","site:prancingponybrewery.com.au contact OR enquiry OR suppliers","""Prancing Pony Brewery"" Australia contact form OR enquiry OR suppliers","""Prancing Pony Brewery"" Australia owner OR founder OR director OR operations OR procurement OR ""food and beverage""","site:prancingponybrewery.com.au team OR people OR leadership OR director OR founder","site:linkedin.com/in ""Prancing Pony Brewery"" Australia director OR operations OR procurement",""
"109","50","missing_form","Restaurant/Hotel Final Customer","LEAD-0202","Thesydneycateringco","Final Customer","","https://www.thesydneycateringco.com","","","","Find official enquiry/contact/supplier form as secondary route.","""Thesydneycateringco"" Australia official contact","site:thesydneycateringco.com contact OR enquiry OR suppliers","""Thesydneycateringco"" Australia contact form OR enquiry OR suppliers","""Thesydneycateringco"" Australia owner OR founder OR director OR operations OR procurement OR ""food and beverage""","site:thesydneycateringco.com team OR people OR leadership OR director OR founder","site:linkedin.com/in ""Thesydneycateringco"" Australia director OR operations OR procurement","https://www.thesydneycateringco.com"
